,Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
171,Capital O 700590 King Suites -hennur,8.4 km,East Zone,['Bangalore'],4.1,['92'],1030, Parking facility  Private entrance  Reception  
172,Capital O 5683 Ss Suites,8.3 km,Above Vishal Mega mart,[],4.2,['1706'],1265, AC  TV 
173,OYO Townhouse 500 Cbm Residency,8.5 km,H s r Layout,['Bangalore'],4.4,['1122'],2164, Elevator  Free Wi-Fi  Geyser  
174, OYO Townhouse 149 Siri Residency,9.5 km,Bhuvaneswari Nagar,['Bangalore'],4.2,['458'],1003, Free Wi-Fi  Power backup  Card payment  
175,Flagship 13933 Varcity Pearl,5.4 km,"Near Forum Mall, Koramangala",['Bangalore'],3.9,['3691'],1081, Free Wi-Fi  Power backup  Security  
176,Capital O 70991 Prime Square,7.6 km,"Centrally Located, Near Kalyan Nagar Bus Stand, 1st stage",['Bangalore'],4.0,['754'],1795, Doctor on call  Private entrance  Reception  
177,Townhouse OAK SRK White Inn,5.9 km,Koramangala,['Bangalore'],3.7,['1622'],1627, Parking facility  Reception  Free Wi-Fi  
178,OYO 72404 Naidu Palace,5.2 km,"Near Dhobi Ghat junction, Rajajinagar",['Bangalore'],4.0,['606'],1172, Cot  Power backup  Bedside Table / Desk  
179,Collection O 27065 Eden Au Lac,5.0 km,"Near Indiranagar Police Station, Indiranagar",['Bangalore'],4.2,['1363'],1470, Parking facility  Reception  Free Wi-Fi  
180,OYO 10527 Corner Golf View,5.6 km,Domlur,['Bangalore'],3.3,['576'],925, Reception  Power backup  Refrigerator  
181,OYO 87519 Nra Residency,9.1 km,Rajarajeshwari Nagar,['Bangalore'],3.5,['346'],1014, Parking facility  Reception  Free Wi-Fi  
182,Townhouse OAK Grand Regency,5.3 km,"Near Varrier Bakery, Rajaji Nagar",['Bangalore'],4.5,['9'],2396, Parking facility  Cot  Free Wi-Fi  
183,Capital O 88646 Sri Sapthagiri Comforts,7.5 km,India,['Bangalore'],3.5,['136'],687, Doctor on call  Parking facility  Reception  
184,OYO 13121 Sai Kuteer,8.2 km,"Near MG school, Bilekahalli ",['Bangalore'],3.5,['158'],641, Private entrance  Reception  Power backup  
185,OYO 3664 Hotel Shivaals Residency,5.1 km,Rajajinagar,['Bangalore'],3.8,['207'],891, Elevator  Free Wi-Fi  Geyser  
186,Collection O 62387 Emara Grand Hotel,7.9 km,H s r Layout,['Bangalore'],4.0,['38'],1986, Elevator  Free Wi-Fi  Geyser  
187,OYO Flagship 702689 Hotel Gurudev Residency,2.7 km,India,['Bangalore'],3.3,['134'],906, Reception  Power backup  24/7 check-in  
188,OYO Flagship 14799 NR Residency,7.2 km,"Near Teacher's colony Park, Jakkasandra",['Bangalore'],3.3,['269'],814, Parking facility  Reception  Free Wi-Fi  
189,Capital O 67657 Gn Suites,7.4 km,"Near Sub Registrar Office, Banaswadi",['Bangalore'],3.6,['866'],845, Parking facility  Reception  Free Wi-Fi  
190,OYO Townhouse 038 Banaswadi 100Ft Road,8.1 km,Bangalore,"['Bangalore', 'Bangalore']",3.6,['846'],1605, Elevator  Geyser  Power backup  
191,Collection O 75506 Hotel Palmtree,3.9 km,"Near Halasuru Metro Station, Ulsoor",['Bangalore'],4.2,['1315'],1868, Elevator  Free Wi-Fi  Geyser  
192,OYO Flagship 804645 Haven Comforts,7.3 km,Yeswantpur near Railway station,['Bangalore'],4.0,['55'],772, Elevator  Geyser  Power backup  
193,OYO 10821 Sree Balaji Residency,5.7 km,"Agrahara Dasarahalli, Rajaji Nagar",['Bangalore'],3.7,['227'],752, Hair Dryer  Free Wi-Fi  Power backup  
194,OYO Flagship 703240 Pride Inn,8.7 km,14 cross Hosur Main road,['Bangalore'],2.9,['125'],626, Parking facility  Elevator  Free Wi-Fi  
195,OYO 10476 Shree Mookambika Guest House,3.9 km,Kormangla,['Bangalore'],4.2,['375'],1136,
196,Flagship 92766 Hotel Metro Inn,8.0 km,Amalodbhavi Nagar,['Bangalore'],3.8,['604'],921, Reception  Free Wi-Fi  Power backup  
197,OYO Townhouse 364 Richmond Road,1.0 km,"Near Baldwin Women College, Richmond Town, Bengaluru",[],4.2,['1673'],1829, Parking facility  Free Wi-Fi  Power backup  
198,Capital O 14273 Inn@silicon Valley,6.8 km,"Service Road, Koramangala, Bengaluru",[],3.9,['829'],1464,
199,OYO Townhouse 093 Ramamurthy Nagar,8.6 km,"Near Ramamurthy Nagar Signal,Karnataka",['Bangalore'],4.1,['946'],1370, Parking facility  Reception  Free Wi-Fi  
200,OYO 29389 Delhi Empire,4.6 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",3.8,['812'],501, Reception  Free Wi-Fi  Power backup  
201,Collection O 77161 Shalimar Bagh,7.5 km,Shalimar Village,['Delhi'],4.0,['2749'],698, Free Wi-Fi  AC  TV 
202,OYO 15515 Hotel Landmark Inn,5.1 km,Near Karol Bagh Metro Station,[],4.7,['4278'],1319, Hair Dryer  Free Wi-Fi  Power backup  
203,OYO 70893 Kl Khari Inn,6.7 km,"Near Ashok Park Main, Rampura Marg",['Delhi'],4.0,['1419'],562, Parking facility  Reception  Daily housekeeping  
204,OYO 91776 Hotel Kl Khari Inn,8.6 km,North West Delhi,"['Delhi', 'Delhi']",4.4,['727'],509, Reception  Free Wi-Fi  Power backup  
205,Flagship 76704 The Mayur Hotel,6.6 km,Tri Nagar,['Delhi'],3.8,['1288'],505, Reception  Free Wi-Fi  Power backup  
206,Collection O 79953 Rose Inn,9.4 km,Bhalaswa,['Delhi'],4.3,['210'],501, AC  TV 
207,OYO Townhouse 1130 262 Kailash Enclave,9.0 km,Harsh Vihar,['Delhi'],2.3,['246'],598, Elevator  Free Wi-Fi  Geyser  
208,OYO 84491 Blue Diamond,6.6 km,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar",['Delhi'],3.9,['504'],497, Hair Dryer  Reception  Ticket tour assistance  
209,OYO Townhouse 610 Derawal Nagar,3.4 km,"Near Vinayak Hoptiat, Gujranwala Town",['Delhi'],5.0,['2811'],2550, Private entrance  Reception  Free Wi-Fi  
210,OYO 49587 Hotel Sai,5.5 km,"A Block - 19, Azadpur, New Delhi 110033",['Delhi'],3.9,['391'],501, Reception  Power backup  Refrigerator  
211,OYO 91580 The Chill Palace,8.2 km,North West Delhi,"['Delhi', 'Delhi']",4.4,['615'],641, Reception  Free Wi-Fi  Security  
212,OYO Flagship 703376 Mk Residency,4.7 km,Wazirabad Extension near divine hospital Delhi India,"['Delhi', 'Delhi']",2.3,['16'],564, Elevator  Geyser  Power backup  
213,OYO Flagship 88508 Hotal Pleasant Inn,7.6 km,Indianull,['Delhi'],5.0,['2'],564, Free Wi-Fi  Geyser  CCTV cameras  
214,Flagship 701471 Hotel Br International,5.1 km,Paharganj,['Delhi'],2.4,['267'],798, Free Wi-Fi  Geyser  CCTV cameras  
215,OYO 5411 Hotel City Castle,5.0 km,"Near Karol Bagh, Nai Walan",['Delhi'],4.1,['1926'],1162, Elevator  Free Wi-Fi  Geyser  
216,OYO Flagship 703050 Hotel Look Like,1.6 km,Timar Paharganj ,['Delhi'],NEW,[],1199, Elevator  Geyser  Power backup  
217,Collection O 8479 Hotel Ambience,5.3 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",3.6,['887'],554, Parking facility  Free Wi-Fi  Power backup  
218,Capital O 81016 First Stay Rooms,5.0 km,India - 110055,['Delhi'],2.6,['108'],682, Reception  Ticket tour assistance  Daily housekeeping  
219,Flagship 80575 Kashish Residency,3.9 km,Ashok Vihar-3,['Delhi'],3.8,['756'],665, Private entrance  Reception  Power backup  
220,OYO 74945 Shri Sai Guest House,5.5 km,"Near Adarsh Nagar Metro, Azadpur",['Delhi'],3.6,['408'],692, Hair Dryer  Reception  Free Wi-Fi  
221,OYO 81119 Hotel Prince,8.6 km,Haiderpur Village,['Delhi'],4.2,['334'],577, Reception  Ticket tour assistance  Caretaker  
222,Flagship 76903 Rs Hotels,9.0 km,Shiva Market,['Delhi'],3.7,['307'],697, Private entrance  Reception  Free Wi-Fi  
223,OYO 81393 Hotel C international,5.1 km,shora kothi basant road paharganj,['Delhi'],3.6,['781'],1663, Hair Dryer  Reception  Free Wi-Fi  
224,OYO 82718 Hotel Stay House,5.0 km,Delhi,"['Delhi', 'Delhi']",3.2,['317'],687, Parking facility  Elevator  Daily housekeeping  
225,OYO 84491 Blue Diamond,6.6 km,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar",['Delhi'],3.9,['504'],497, Hair Dryer  Reception  Ticket tour assistance  
226,Capital O 7845 Hotel Orchid Garden,4.7 km,Near Sarai Rohilla Station,['Delhi'],3.2,['54'],562, Elevator  Free Wi-Fi  Geyser  
227,Collection O 83831 Golden Key,9.8 km,Near Rajdhani College,['Delhi'],3.8,['1085'],692, Reception  Ticket tour assistance  Caretaker  
228,Flagship 80575 Kashish Residency,3.9 km,Ashok Vihar-3,['Delhi'],3.8,['756'],665, Private entrance  Reception  Power backup  
229,OYO 92111 Helooeesh Rooms,9.9 km,Mandoli Extension,['Delhi'],2.6,['51'],621, Free Wi-Fi  Geyser  CCTV cameras  
230,OYO 87205 Hotel Sapan Plaza,4.5 km,Pahar Ganj,['Delhi'],3.9,['327'],999, Reception  Ticket tour assistance  Free Wi-Fi  
231,SPOT ON 702129 Hotel Thanks,8.3 km,110092,['Delhi'],2.9,['38'],446, Free Wi-Fi  Geyser  CCTV cameras  
232,OYO 91580 The Chill Palace,8.2 km,North West Delhi,"['Delhi', 'Delhi']",4.4,['615'],641, Reception  Free Wi-Fi  Security  
233,Capital O 91609 Hotel Sunberry,8.7 km,Delhi,"['Delhi', 'Delhi']",3.2,['128'],497, Parking facility  Reception  Free Wi-Fi  
234,OYO Flagship 13277 Hotel International Neelam suites,4.5 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",2.9,['258'],1199, Elevator  Free Wi-Fi  Geyser  
235,OYO 74753 Sushma Ssadan,3.7 km,Sawan Park Ashok Vihar Phase 3 Model Town Tehsil,['Delhi'],3.7,['697'],1007, Parking facility  Reception  Free Wi-Fi  
236,OYO Townhouse 610 Derawal Nagar,3.4 km,"Near Vinayak Hoptiat, Gujranwala Town",['Delhi'],5.0,['2811'],2550, Private entrance  Reception  Free Wi-Fi  
237,OYO 35981 Rohit Dx,4.5 km,Ram Nagar,['Delhi'],4.0,['275'],1237, Reception  Free Wi-Fi  Refrigerator  
238,OYO 2984 Hotel Sun City,5.7 km,"Near Karol Bagh, Channa Market",['Delhi'],3.6,['1072'],999, Free Wi-Fi  Power backup  Card payment  
239,OYO 84536 Royal King,7.9 km,Burari,['Delhi'],1.9,['113'],501, Hair Dryer  Parking facility  Reception  
240,OYO 92946 Wisteria Residency,8.3 km,"Vijay block near metro pillar 50 , Laxmi Nagar East Delhi ",['Delhi'],3.2,['91'],497, Reception  Ticket tour assistance  Public washroom  
241,OYO 90025 Pari Residency,9.9 km,New Delhi,"['Delhi', 'Delhi']",3.7,['111'],682, AC  AC  TV  
242,OYO 14687 Hotel Avtar,4.7 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",3.7,['24'],1199, Power backup  Bedside Table / Desk  Full Sized Bed  
243,OYO Flagship 703629 M Stays,8.2 km,Block D,['Delhi'],3.5,['32'],526, Geyser  Power backup  AC  
244,OYO Flagship 702265 Shelly Home Stay,9.8 km,West Punjabi Bagh,['Delhi'],2.1,['29'],513, Free Wi-Fi  Geyser  CCTV cameras  
245,OYO Flagship 7844 Hotel KNK,5.4 km,"Near Karol Bagh, WEA",['Delhi'],2.2,['48'],550, Doctor on call  Public washroom  Designated smoking area  
246,Capital O 10938 Season Grand,8.5 km,Near Pitampura metro station,[],3.4,['633'],934, Private entrance  Parking facility  Reception  
247,OYO Flagship 703124 Hotel The Royal,8.0 km,Laxmi Nagar 110092,['Delhi'],1.8,['39'],501, Geyser  Power backup  AC  
248,OYO 74530 Shyam Guest House,4.9 km,"Near RK Ashram Marg Metro Station, Dariba Pan",['Delhi'],4.0,['1'],609, Reception  Free Wi-Fi  Power backup  
249,OYO Flagship 701855 Hotel Nirman,8.3 km,Haiderpur,['Delhi'],2.5,['23'],501, Free Wi-Fi  Geyser  CCTV cameras  
250,OYO 44400 Retreat Inn,9.8 km,"Near Block D, Pandav Nagar",['Delhi'],2.7,['64'],626, Reception  Free Wi-Fi  Power backup  
251,OYO Flagship 62176 Delight Stay,7.9 km,"Centrally Located, Near Nirman Vihar, Guru Angad Nagar West",['Delhi'],3.9,['109'],687, Private entrance  Free Wi-Fi  Power backup  
252,OYO 86633 Hotel Sp,4.6 km,New Delhi,"['Delhi', 'Delhi']",3.4,['176'],626, Elevator  Free Wi-Fi  Geyser  
253,OYO 62660 Hotel Park View,6.7 km,"Near Adarsh nagar, Matmy Memar",['Delhi'],3.6,['1423'],850, Hair Dryer  Reception  Power backup  
254,OYO 86673 Shoolin Residency,8.7 km,Near M2k Cinema,['Delhi'],4.0,['310'],692, Reception  Free Wi-Fi  Caretaker  
255,OYO 5434 Hotel Delhi Delight,4.5 km,Near Sarai Rohilla Railway Station,['Delhi'],3.4,['573'],999, Free Wi-Fi  Geyser  Power backup  
256,OYO 5411 Hotel City Castle,5.0 km,"Near Karol Bagh, Nai Walan",['Delhi'],4.1,['1926'],1162, Elevator  Free Wi-Fi  Geyser  
257,SPOT ON 40016 Hotel Vandana,4.6 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",3.9,['694'],1296, AC  Parking facility  Free Wi-Fi  
258,Flagship 46624 Hotel Western,5.7 km,"Near Karol Bagh, Channa Market",['Delhi'],2.7,['101'],621, Reception  Free Wi-Fi  Power backup  
259,OYO 90747 Dream Palace,8.4 km,Laxmi Nagar,['Delhi'],3.2,['248'],978, Reception  Power backup  24/7 check-in  
260,OYO Flagship 703050 Hotel Look Like,1.6 km,Timar Paharganj ,['Delhi'],NEW,[],1199, Elevator  Geyser  Power backup  
261,OYO Townhouse 774 Hotel Toravio,5.1 km,Karol Bagh Tehsil,['Delhi'],3.7,['42'],673, Reception  Public washroom  Caretaker  
262,Townhouse 750 Billa's Jyot,5.1 km,Near RK Ashram Metro Station,['Delhi'],3.6,['505'],758, Doctor on call  Reception  Ticket tour assistance  
263,OYO 87292 Exotic Stay Gangaram Hospital,5.0 km,New Delhi,"['Delhi', 'Delhi']",4.2,['17'],550, AC  AC  TV  
264,Flagship 60410 Ashoka,4.6 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",3.5,['643'],1199, Elevator  Geyser  Power backup  
265,OYO Flagship 703376 Mk Residency,4.7 km,Wazirabad Extension near divine hospital Delhi India,"['Delhi', 'Delhi']",2.3,['16'],564, Elevator  Geyser  AC  
266,OYO 703287 Neelam Hotels,4.5 km,Arya Nagar,['Delhi'],NEW,[],626, Free Wi-Fi  Geyser  CCTV cameras  
267,Flagship 701115 King Stay,8.6 km,Block N,['Delhi'],3.1,['138'],612, Geyser  Power backup  AC  
268,OYO Flagship 703893 Sr Residency,9.7 km,Block B,['Delhi'],3.8,['30'],626, Parking facility  Reception  Free Wi-Fi  
269,OYO Townhouse 381 Dilshad Garden,9.9 km,Pocket E,['Delhi'],3.5,['3500'],1114, Private entrance  Reception  Power backup  
270,OYO 46761 Hotel Royal King Deluxe,7.9 km,"Near Hariram Sweets, Burari village, Takia Chowk",['Delhi'],3.9,['110'],763, Free Wi-Fi  CCTV cameras  AC  
271,OYO Townhouse 118 Gagan Vihar,8.6 km,"Near rg stone hospital , Hargobind Enclave",['Delhi'],3.6,['4333'],1442, Geyser  AC  Power backup  
272,OYO Flagship 804788 Kd Rooms,4.2 km,delhi,['Delhi'],2.3,['16'],626, Doctor on call  Ticket tour assistance  Reception  
273,OYO Townhouse 778 Hotel Sehej Inn,4.7 km,New Delhi,"['Delhi', 'Delhi']",3.6,['7'],748, Private entrance  Reception  Free Wi-Fi  
274,Townhouse 939 Hotel Gagan Inn,7.1 km,"Near metro station, patel nagar",['Delhi'],2.4,['166'],1658, Reception  Ticket tour assistance  Caretaker  
275,OYO Flagsip81100 Hotel Vintage Inn,5.0 km,New Delhi,"['Delhi', 'Delhi']",3.5,['399'],1199, Parking facility  Reception  Free Wi-Fi  
276,Flagship 18618 Ocean Blue Residency,7.6 km, A-14 Pridarshni Vihar Laxminagar,['Delhi'],2.5,['413'],1241, Doctor on call  Hair Dryer  Reception  
277,OYO 80289 Hotel Neha Inn,4.5 km,Paharganj,['Delhi'],3.7,['57'],1199, Free Wi-Fi  Geyser  Power backup  
278,SPOT ON 82420 Hotel Anchal Dx Paharganj,4.9 km,New Delhi,"['Delhi', 'Delhi']",3.9,['1175'],999, Geyser  Power backup  AC  
279,OYO Flagship 805334 Kashvi Palace,3.7 km,1 st pusta near walia public shool Usmaanpur,['Delhi'],2.9,['20'],882, Elevator  Free Wi-Fi  Geyser  
280,OYO Townhouse 1130 262 Kailash Enclave,9.0 km,Harsh Vihar,['Delhi'],2.3,['246'],598, Elevator  Geyser  Power backup  
281,OYO Flagship 703789 Hotel New Singh,6.4 km,Delhi ,"['Delhi', 'Delhi']",3.4,['20'],687, Reception  Free Wi-Fi  Bedside Table / Desk  
282,Flagship 42522 City Inn Dx,5.3 km,"Near RK ASHRAM, Basant Road Railway Colony",['Delhi'],2.9,['203'],999, Free Wi-Fi  AC  TV 
283,OYO Townhouse 57 Gujranwala Town,4.0 km,Tehsil,['Delhi'],3.7,['3103'],1640, Living Room  Washing Machine  Balcony  
284,OYO 1987 Hotel Emporio,4.7 km,"Near Shela Cinema, DB Gupta Road",['Delhi'],3.3,['175'],1500, Doctor on call  Reception  Free Wi-Fi  
285,OYO 82131 Sahani Guest House,4.6 km,Karol Bagh,['Delhi'],1.0,['2'],550, Reception  Geyser  Power backup  
286,OYO Flagship 81691 Royal Galaxy ,9.9 km,India - 110092,['Delhi'],3.6,['49'],687, Free Wi-Fi  Geyser  CCTV cameras  
287,Flagship 701471 Hotel Br International,5.1 km,Paharganj,['Delhi'],2.4,['267'],798, Free Wi-Fi  Geyser  Power backup  
288,OYO 5401 Hotel Mid Town,5.6 km,Near Karol bagh metro station,[],3.6,['260'],1881, Free Wi-Fi  CCTV cameras  TV  
289,OYO Townhouse 281 Harsh Vihar.,8.7 km,"Near Pitampura metro , Harsh Vihar",['Delhi'],4.1,['804'],2795, Private entrance  Free Wi-Fi  Power backup  
290,Collection O 81379 Hotel Green Plaza,7.7 km,H.no.-A3 block A Jagat Puri Red light near SBI bank Jagat Puri East Delhi,"['Delhi', 'Delhi']",4.3,['359'],790, Geyser  Power backup  AC  
291,OYO Flagship 805144 Red Heart Inn,9.4 km,Nathupura,['Delhi'],NEW,[],564, AC  TV  Attached bathroom 
292,Collection O 81901 Model Town Metro View,2.8 km,Near Model Town Metro Station,['Delhi'],4.3,['1231'],1915, Geyser  Power backup  AC  
293,OYO Flagship 82642 Hotel Rohan Inn,4.0 km,Delhi,"['Delhi', 'Delhi']",3.1,['183'],1091, Reception  Free Wi-Fi  Power backup  
294,OYO 28237 Hotel Bramhaputra,5.0 km,"Centrally Located, Near New Delhi Railway Station","['Delhi', 'Delhi']",3.9,['572'],1269, Elevator  Geyser  Power backup  
295,OYO Flagship 80595 Hotel D Palace,6.0 km,Shahdra,['Delhi'],NEW,[],564, Reception  Free Wi-Fi  Power backup  
296,OYO 67901 Hotel Yugh Dx,4.8 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",2.2,['16'],1199, Free Wi-Fi  Geyser  CCTV cameras  
297,OYO Flagship 88508 Hotal Pleasant Inn,7.6 km,Indianull,['Delhi'],5.0,['2'],564,
298,SPOT ON 69054 Anchal Guest House,4.8 km,Near New Delhi Railway Station,"['Delhi', 'Delhi']",3.6,['259'],999, TV  TV 
299,OYO Flagship 703606 Shakti Residency,3.8 km,Delhi - 110053,"['Delhi', 'Delhi']",NEW,[],699, Geyser  Power backup  AC  
300,Flagship 701182 The Nest Inn,7.9 km,Near Raj Market,['Kolkata'],4.1,['126'],501, Free Wi-Fi  Geyser  CCTV cameras  
301,Collection O 5048 Church View,2.0 km,"Near Brand Factory, AJC Bose Road, Maula Ali",['Kolkata'],4.2,['857'],932, Free Wi-Fi  Geyser  Power backup  
302,Flagship 76255 Airport Comfort Stay,9.9 km,"Near Opposite To Hotel Moon Light, Bediapara",['Kolkata'],4.6,['1904'],706, Free Wi-Fi  Geyser  CCTV cameras  
303,OYO 36451 Pallyshree Guest House,8.9 km,"Jyangra Sani Mandir, Baguiati Jora Mandir Chinar Park VIP Road Raghunathpur International Airport",['Kolkata'],4.7,['817'],501, AC  TV 
304,SPOT ON 64196 Silver Green,9.8 km,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",['Kolkata'],4.7,['3005'],696, TV  Parking facility  Reception  
305,OYO Flagship 805126 Hotel New Aamaze Inn,7.6 km,near Vivanta hotel,['Kolkata'],3.9,['20'],618, Elevator  Geyser  Power backup  
306,Townhouse Oak Hotel Lake View Royal ,4.4 km,East Topsia Road,['Kolkata'],3.9,['449'],1132, Reception  Caretaker  Power backup  
307,OYO Townhouse 229 Hotel Mannat International,4.2 km,Near Bypass Connector,['Kolkata'],4.4,['6116'],1500, Hair Dryer  Reception  Free Wi-Fi  
308,OYO Flagship 93522 Kamalakanta Guest House,8.8 km,KOLKATA-700028,['Kolkata'],3.5,['22'],501, Elevator  Free Wi-Fi  Geyser  
309,OYO 48739 Fantasy Stay,5.9 km,"Near Sector 1, Bidhan Nagar",['Kolkata'],3.7,['674'],645, Private entrance  Reception  Free Wi-Fi  
310,OYO Townhouse 143 Hotel Royal Garden,3.0 km,"Near Jameson Inn, Park St",['Kolkata'],4.3,['8182'],1500, Reception  Free Wi-Fi  Power backup  
311,OYO 701502 Roomssolution,7.2 km,Sector 2,['Kolkata'],3.4,['80'],497, Free Wi-Fi  Geyser  CCTV cameras  
312,Flagship 81224 Hotel Eden,9.0 km,Rajarhat,['Kolkata'],3.7,['318'],546, Reception  Free Wi-Fi  Caretaker  
313,OYO 92265 Hotel Luxury Stay,6.3 km,"288/2, Block- B, Binoy Krishna Bhawan, Bangur Avenue, 700055",['Kolkata'],3.0,['343'],559, Reception  Caretaker  Bedside Table / Desk  
314,OYO 1764 Hotel Maruti Lodging,8.8 km,"Above Reliance Trends, Raghunathpur",['Kolkata'],4.0,['358'],501, Parking facility  Elevator  Free Wi-Fi  
315,Flagship 74334 Hotel Marina,2.7 km,"Near Ladies Park, Beniapukur",['Kolkata'],4.5,['3370'],1496, Reception  Free Wi-Fi  Power backup  
316,Flagship 74169 Mourigram Near Andul Rd,9.5 km,Howrah,['Kolkata'],4.0,['6125'],863, Reception  Free Wi-Fi  Daily housekeeping  
317,Flagship 701154 Dream Palace,6.3 km,"Near Acropolis Mall, Rene Tower, Garden High school Kasba",[],4.2,['446'],793, Elevator  Free Wi-Fi  Geyser  
318,Flagship 701132 Diamond Residency,6.9 km,Shantipally,['Kolkata'],3.5,['145'],497, Free Wi-Fi  Geyser  CCTV cameras  
319,Flagship 701196 Sonar Bangla Guest House,7.7 km,Near G s t Bhawan,['Kolkata'],4.5,['343'],778, Reception  Free Wi-Fi  CCTV cameras  
320,Collection O 74257 Gokul Residency Jessore Road,8.6 km,"Near Emami City, Nagerbazar, Dum Dum",['Kolkata'],4.5,['6411'],1339, Private entrance  Reception  Free Wi-Fi  
321,OYO 48739 Fantasy Stay,5.9 km,"Near Sector 1, Bidhan Nagar",['Kolkata'],3.7,['674'],645, Reception  Caretaker  Bedside Table / Desk  
322,OYO 92265 Hotel Luxury Stay,6.3 km,"288/2, Block- B, Binoy Krishna Bhawan, Bangur Avenue, 700055",['Kolkata'],3.0,['343'],559, Free Wi-Fi  Geyser  CCTV cameras  
323,OYO Flagship Monurama Homestay,9.4 km,Purba Diganta,['Kolkata'],2.9,['30'],497, Parking facility  Elevator  Electric Kettle  
324,OYO 11569 Jalan Lake View,3.9 km,"Near Beliaghata lake side club, Phool Bagan",['Kolkata'],3.5,['563'],808, Reception  Free Wi-Fi  Caretaker  
325,OYO 92742 Maa Santoshi Inn,9.2 km,"AI Block, Near Tank No 3, Newtown",['Kolkata'],2.6,['41'],497, Parking facility  Elevator  Free Wi-Fi  
326,OYO 1764 Hotel Maruti Lodging,8.8 km,"Above Reliance Trends, Raghunathpur",['Kolkata'],4.0,['358'],501, Free Wi-Fi  Geyser  CCTV cameras  
327,Flagship 701196 Sonar Bangla Guest House,7.7 km,Near G s t Bhawan,['Kolkata'],4.5,['343'],778, Reception  Free Wi-Fi  Caretaker  
328,OYO 701502 Roomssolution,7.2 km,Sector 2,['Kolkata'],3.4,['80'],497, TV  Queen Sized Bed 
329,Flagship 90948 Hotel Dream Residency,9.1 km,Jangra,['Kolkata'],3.8,['70'],497, Reception  Free Wi-Fi  Caretaker  
330,SPOT ON 27697 Trisha Guest House,8.6 km,"Behind New Life Nurshing Home, Oppssite Arati cinema, Sahabagan",['Kolkata'],4.3,['1769'],852, Private entrance  Reception  Free Wi-Fi  
331,OYO 89475 New Hotel City Of Joy,5.2 km,Saltlake Sector 1,['Kolkata'],4.0,['510'],680, Free Wi-Fi  Geyser  CCTV cameras  
332,Collection O 67194 Hotel Paradise ,9.7 km,Kolkata west Bengal Kolkata,"['Kolkata', 'Kolkata', 'Kolkata']",4.5,['944'],941, Free Wi-Fi  Geyser  CCTV cameras  
333,Flagship 701182 The Nest Inn,7.9 km,Near Raj Market,['Kolkata'],4.1,['126'],501, Geyser  Power backup 
334,Flagship 701132 Diamond Residency,6.9 km,Shantipally,['Kolkata'],3.5,['145'],497, AC  TV 
335,SPOT ON 702888 Diya Guest House,8.3 km,Opposite Baguihati Smart Bazar,['Kolkata'],2.8,['21'],453, Reception  Power backup  24/7 check-in  
336,OYO Flagship 701787 Relax View Dumdum Park,6.6 km,Dum Dum Park,['Kolkata'],2.8,['53'],535, Free Wi-Fi  AC  Power backup  
337,OYO 61457 Pinnacle Auberge,9.8 km,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,['Kolkata'],3.4,['212'],501, Elevator  Free Wi-Fi  Geyser  
338, Townhouse OAK Kzar Corporate Hotel,1.6 km,Sealdah - Entally,['Kolkata'],4.5,['878'],2112, Elevator  Free Wi-Fi  Geyser  
339,OYO 14373 Comfort Stays,9.4 km,Rajarhat,['Kolkata'],4.0,['165'],497, Reception  Free Wi-Fi  Daily housekeeping  
340,OYO Flagship 701555 Pindara Guest House,9.8 km,Kolkata,"['Kolkata', 'Kolkata']",3.7,['131'],551, Elevator  Free Wi-Fi  Geyser  
341,Flagship 74169 Mourigram Near Andul Rd,9.5 km,Howrah,['Kolkata'],4.0,['6125'],863, Elevator  Free Wi-Fi  Geyser  
342,Flagship 701567 Dark N Dreams,6.2 km,Near Dhan Math,['Kolkata'],3.7,['62'],508, Free Wi-Fi  Geyser  CCTV cameras  
343,Flagship 701154 Dream Palace,6.3 km,"Near Acropolis Mall, Rene Tower, Garden High school Kasba",[],4.2,['446'],793, AC  AC  Queen Sized Bed  
344,Flagship 701201 The Buddha Guest House,9.7 km,Near Vidyasagar Hospital,['Kolkata'],2.9,['44'],687, Reception  Free Wi-Fi  Caretaker  
345,Capital O 1481 Hotel Heritage,8.8 km,"Teghoria, VIP Road Raghunathpur Airport Haldiram","['Kolkata', 'Kolkata']",4.3,['779'],1122, Free Wi-Fi  AC  Attached Washroom  
346,Collection O 90950 The Eden,7.7 km,Ward 107,['Kolkata'],3.7,['32'],501, Geyser  Power backup  AC  
347,Flagship 78267 Flagship City Inn,8.4 km,Avisar Spencer Kalikapur,[],2.9,['294'],564, Elevator  Free Wi-Fi  Geyser  
348,OYO Flagship 805678 Golden Guest House,7.5 km,kolkata,['Kolkata'],NEW,[],702, AC  TV  Parking facility  
