Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
OYO 10821 Sree Balaji Residency,5.7,"Agrahara Dasarahalli, Rajaji Nagar",Bangalore,3.7,227,752, Hair Dryer  Free Wi-Fi  Power backup  
OYO Flagship 703240 Pride Inn,8.7,14 cross Hosur Main road,Bangalore,2.9,125,626, Parking facility  Elevator  Free Wi-Fi  
OYO 10476 Shree Mookambika Guest House,3.9,Kormangla,Bangalore,4.2,375,1136, Parking facility  Elevator  Free Wi-Fi  
Flagship 92766 Hotel Metro Inn,8,Amalodbhavi Nagar,Bangalore,3.8,604,921, Reception  Free Wi-Fi  Power backup  
OYO Townhouse 364 Richmond Road,1,"Near Baldwin Women College, Richmond Town, Bengaluru",Bangalore,4.2,1673,1829, Parking facility  Free Wi-Fi  Power backup  
Capital O 14273 Inn@silicon Valley,6.8,"Service Road, Koramangala, Bengaluru",Bangalore,3.9,829,1464, Parking facility  Free Wi-Fi  Power backup  
OYO Townhouse 093 Ramamurthy Nagar,8.6,"Near Ramamurthy Nagar Signal,Karnataka",Bangalore,4.1,946,1370, Parking facility  Reception  Free Wi-Fi  
OYO 29389 Delhi Empire,4.6,Near New Delhi Railway Station,Delhi,3.8,812,501, Reception  Free Wi-Fi  Power backup  
Collection O 77161 Shalimar Bagh,7.5,Shalimar Village,Delhi,4,2749,698, Free Wi-Fi  AC  TV 
OYO 15515 Hotel Landmark Inn,5.1,Near Karol Bagh Metro Station,Delhi,4.7,4278,1319, Hair Dryer  Free Wi-Fi  Power backup  
OYO 70893 Kl Khari Inn,6.7,"Near Ashok Park Main, Rampura Marg",Delhi,4,1419,562, Parking facility  Reception  Daily housekeeping  
OYO 91776 Hotel Kl Khari Inn,8.6,North West Delhi,Delhi,4.4,727,509, Reception  Free Wi-Fi  Power backup  
Flagship 76704 The Mayur Hotel,6.6,Tri Nagar,Delhi,3.8,1288,505, Reception  Free Wi-Fi  Power backup  
Collection O 79953 Rose Inn,9.4,Bhalaswa,Delhi,4.3,210,501, AC  TV 
OYO Townhouse 1130 262 Kailash Enclave,9,Harsh Vihar,Delhi,2.3,246,598, Elevator  Free Wi-Fi  Geyser  
OYO 84491 Blue Diamond,6.6,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar",Delhi,3.9,504,497, Hair Dryer  Reception  Ticket tour assistance  
OYO Townhouse 610 Derawal Nagar,3.4,"Near Vinayak Hoptiat, Gujranwala Town",Delhi,5,2811,2550, Private entrance  Reception  Free Wi-Fi  
OYO 49587 Hotel Sai,5.5,"A Block - 19, Azadpur, New Delhi 110033",Delhi,3.9,391,501, Reception  Power backup  Refrigerator  
OYO 91580 The Chill Palace,8.2,North West Delhi,Delhi,4.4,615,641, Reception  Free Wi-Fi  Security  
OYO Flagship 703376 Mk Residency,4.7,Wazirabad Extension near divine hospital Delhi India,Delhi,2.3,16,564, Elevator  Geyser  Power backup  
OYO Flagship 88508 Hotal Pleasant Inn,7.6,Indianull,Delhi,5,2,564, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701471 Hotel Br International,5.1,Paharganj,Delhi,2.4,267,798, Free Wi-Fi  Geyser  CCTV cameras  
OYO 5411 Hotel City Castle,5,"Near Karol Bagh, Nai Walan",Delhi,4.1,1926,1162, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 703050 Hotel Look Like,1.6,Timar Paharganj ,Delhi,0,876,1199, Elevator  Geyser  Power backup  
Collection O 8479 Hotel Ambience,5.3,Near New Delhi Railway Station,Delhi,3.6,887,554, Parking facility  Free Wi-Fi  Power backup  
Capital O 81016 First Stay Rooms,5,India - 110055,Delhi,2.6,108,682, Reception  Ticket tour assistance  Daily housekeeping  
Flagship 80575 Kashish Residency,3.9,Ashok Vihar-3,Delhi,3.8,756,665, Private entrance  Reception  Power backup  
OYO 74945 Shri Sai Guest House,5.5,"Near Adarsh Nagar Metro, Azadpur",Delhi,3.6,408,692, Hair Dryer  Reception  Free Wi-Fi  
OYO 81119 Hotel Prince,8.6,Haiderpur Village,Delhi,4.2,334,577, Reception  Ticket tour assistance  Caretaker  
Flagship 76903 Rs Hotels,9,Shiva Market,Delhi,3.7,307,697, Private entrance  Reception  Free Wi-Fi  
OYO 81393 Hotel C international,5.1,shora kothi basant road paharganj,Delhi,3.6,781,1663, Hair Dryer  Reception  Free Wi-Fi  
OYO 82718 Hotel Stay House,5,Delhi,Delhi,3.2,317,687, Parking facility  Elevator  Daily housekeeping  
OYO 84491 Blue Diamond,6.6,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar",Delhi,3.9,504,497, Hair Dryer  Reception  Ticket tour assistance  
Capital O 7845 Hotel Orchid Garden,4.7,Near Sarai Rohilla Station,Delhi,3.2,54,562, Elevator  Free Wi-Fi  Geyser  
Collection O 83831 Golden Key,9.8,Near Rajdhani College,Delhi,3.8,1085,692, Reception  Ticket tour assistance  Caretaker  
Flagship 80575 Kashish Residency,3.9,Ashok Vihar-3,Delhi,3.8,756,665, Private entrance  Reception  Power backup  
OYO 92111 Helooeesh Rooms,9.9,Mandoli Extension,Delhi,2.6,51,621, Free Wi-Fi  Geyser  CCTV cameras  
OYO 87205 Hotel Sapan Plaza,4.5,Pahar Ganj,Delhi,3.9,327,999, Reception  Ticket tour assistance  Free Wi-Fi  
SPOT ON 702129 Hotel Thanks,8.3,110092,Delhi,2.9,38,446, Free Wi-Fi  Geyser  CCTV cameras  
OYO 91580 The Chill Palace,8.2,North West Delhi,Delhi,4.4,615,641, Reception  Free Wi-Fi  Security  
Capital O 91609 Hotel Sunberry,8.7,Delhi,Delhi,3.2,128,497, Parking facility  Reception  Free Wi-Fi  
OYO Flagship 13277 Hotel International Neelam suites,4.5,Near New Delhi Railway Station,Delhi,2.9,258,1199, Elevator  Free Wi-Fi  Geyser  
OYO 74753 Sushma Ssadan,3.7,Sawan Park Ashok Vihar Phase 3 Model Town Tehsil,Delhi,3.7,697,1007, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 610 Derawal Nagar,3.4,"Near Vinayak Hoptiat, Gujranwala Town",Delhi,5,2811,2550, Private entrance  Reception  Free Wi-Fi  
OYO 35981 Rohit Dx,4.5,Ram Nagar,Delhi,4,275,1237, Reception  Free Wi-Fi  Refrigerator  
OYO 2984 Hotel Sun City,5.7,"Near Karol Bagh, Channa Market",Delhi,3.6,1072,999, Free Wi-Fi  Power backup  Card payment  
OYO 84536 Royal King,7.9,Burari,Delhi,1.9,113,501, Hair Dryer  Parking facility  Reception  
OYO 92946 Wisteria Residency,8.3,"Vijay block near metro pillar 50 , Laxmi Nagar East Delhi ",Delhi,3.2,91,497, Reception  Ticket tour assistance  Public washroom  
OYO 90025 Pari Residency,9.9,New Delhi,Delhi,3.7,111,682, AC  AC  TV  
OYO 14687 Hotel Avtar,4.7,Near New Delhi Railway Station,Delhi,3.7,24,1199, Power backup  Bedside Table / Desk  Full Sized Bed  
OYO Flagship 703629 M Stays,8.2,Block D,Delhi,3.5,32,526, Geyser  Power backup  AC  
OYO Flagship 702265 Shelly Home Stay,9.8,West Punjabi Bagh,Delhi,2.1,29,513, Free Wi-Fi  Geyser  CCTV cameras  
OYO Flagship 7844 Hotel KNK,5.4,"Near Karol Bagh, WEA",Delhi,2.2,48,550, Doctor on call  Public washroom  Designated smoking area  
Capital O 10938 Season Grand,8.5,Near Pitampura metro station,Delhi,3.4,633,934, Private entrance  Parking facility  Reception  
OYO Flagship 703124 Hotel The Royal,8,Laxmi Nagar 110092,Delhi,1.8,39,501, Geyser  Power backup  AC  
OYO 74530 Shyam Guest House,4.9,"Near RK Ashram Marg Metro Station, Dariba Pan",Delhi,4,1,609, Reception  Free Wi-Fi  Power backup  
OYO Flagship 701855 Hotel Nirman,8.3,Haiderpur,Delhi,2.5,23,501, Free Wi-Fi  Geyser  CCTV cameras  
OYO 44400 Retreat Inn,9.8,"Near Block D, Pandav Nagar",Delhi,2.7,64,626, Reception  Free Wi-Fi  Power backup  
OYO Flagship 62176 Delight Stay,7.9,"Centrally Located, Near Nirman Vihar, Guru Angad Nagar West",Delhi,3.9,109,687, Private entrance  Free Wi-Fi  Power backup  
OYO 86633 Hotel Sp,4.6,New Delhi,Delhi,3.4,176,626, Elevator  Free Wi-Fi  Geyser  
OYO 62660 Hotel Park View,6.7,"Near Adarsh nagar, Matmy Memar",Delhi,3.6,1423,850, Hair Dryer  Reception  Power backup  
OYO 86673 Shoolin Residency,8.7,Near M2k Cinema,Delhi,4,310,692, Reception  Free Wi-Fi  Caretaker  
OYO 5434 Hotel Delhi Delight,4.5,Near Sarai Rohilla Railway Station,Delhi,3.4,573,999, Free Wi-Fi  Geyser  Power backup  
OYO 5411 Hotel City Castle,5,"Near Karol Bagh, Nai Walan",Delhi,4.1,1926,1162, Elevator  Free Wi-Fi  Geyser  
SPOT ON 40016 Hotel Vandana,4.6,Near New Delhi Railway Station,Delhi,3.9,694,1296, AC  Parking facility  Free Wi-Fi  
Flagship 46624 Hotel Western,5.7,"Near Karol Bagh, Channa Market",Delhi,2.7,101,621, Reception  Free Wi-Fi  Power backup  
OYO 90747 Dream Palace,8.4,Laxmi Nagar,Delhi,3.2,248,978, Reception  Power backup  24/7 check-in  
OYO Flagship 703050 Hotel Look Like,1.6,Timar Paharganj ,Delhi,0,876,1199, Elevator  Geyser  Power backup  
OYO Townhouse 774 Hotel Toravio,5.1,Karol Bagh Tehsil,Delhi,3.7,42,673, Reception  Public washroom  Caretaker  
Townhouse 750 Billa's Jyot,5.1,Near RK Ashram Metro Station,Delhi,3.6,505,758, Doctor on call  Reception  Ticket tour assistance  
OYO 87292 Exotic Stay Gangaram Hospital,5,New Delhi,Delhi,4.2,17,550, AC  AC  TV  
Flagship 60410 Ashoka,4.6,Near New Delhi Railway Station,Delhi,3.5,643,1199, Elevator  Geyser  Power backup  
OYO Flagship 703376 Mk Residency,4.7,Wazirabad Extension near divine hospital Delhi India,Delhi,2.3,16,564, Elevator  Geyser  AC  
OYO 703287 Neelam Hotels,4.5,Arya Nagar,Delhi,0,876,626, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701115 King Stay,8.6,Block N,Delhi,3.1,138,612, Geyser  Power backup  AC  
OYO Flagship 703893 Sr Residency,9.7,Block B,Delhi,3.8,30,626, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 381 Dilshad Garden,9.9,Pocket E,Delhi,3.5,3500,1114, Private entrance  Reception  Power backup  
OYO 46761 Hotel Royal King Deluxe,7.9,"Near Hariram Sweets, Burari village, Takia Chowk",Delhi,3.9,110,763, Free Wi-Fi  CCTV cameras  AC  
OYO Townhouse 118 Gagan Vihar,8.6,"Near rg stone hospital , Hargobind Enclave",Delhi,3.6,4333,1442, Geyser  AC  Power backup  
OYO Flagship 804788 Kd Rooms,4.2,delhi,Delhi,2.3,16,626, Doctor on call  Ticket tour assistance  Reception  
OYO Townhouse 778 Hotel Sehej Inn,4.7,New Delhi,Delhi,3.6,7,748, Private entrance  Reception  Free Wi-Fi  
Townhouse 939 Hotel Gagan Inn,7.1,"Near metro station, patel nagar",Delhi,2.4,166,1658, Reception  Ticket tour assistance  Caretaker  
OYO Flagsip81100 Hotel Vintage Inn,5,New Delhi,Delhi,3.5,399,1199, Parking facility  Reception  Free Wi-Fi  
Flagship 18618 Ocean Blue Residency,7.6, A-14 Pridarshni Vihar Laxminagar,Delhi,2.5,413,1241, Doctor on call  Hair Dryer  Reception  
OYO 80289 Hotel Neha Inn,4.5,Paharganj,Delhi,3.7,57,1199, Free Wi-Fi  Geyser  Power backup  
SPOT ON 82420 Hotel Anchal Dx Paharganj,4.9,New Delhi,Delhi,3.9,1175,999, Geyser  Power backup  AC  
OYO Flagship 805334 Kashvi Palace,3.7,1 st pusta near walia public shool Usmaanpur,Delhi,2.9,20,882, Elevator  Free Wi-Fi  Geyser  
OYO Townhouse 1130 262 Kailash Enclave,9,Harsh Vihar,Delhi,2.3,246,598, Elevator  Geyser  Power backup  
OYO Flagship 703789 Hotel New Singh,6.4,Delhi ,Delhi,3.4,20,687, Reception  Free Wi-Fi  Bedside Table / Desk  
Flagship 42522 City Inn Dx,5.3,"Near RK ASHRAM, Basant Road Railway Colony",Delhi,2.9,203,999, Free Wi-Fi  AC  TV 
OYO Townhouse 57 Gujranwala Town,4,Tehsil,Delhi,3.7,3103,1640, Living Room  Washing Machine  Balcony  
OYO 1987 Hotel Emporio,4.7,"Near Shela Cinema, DB Gupta Road",Delhi,3.3,175,1500, Doctor on call  Reception  Free Wi-Fi  
OYO 82131 Sahani Guest House,4.6,Karol Bagh,Delhi,1,2,550, Reception  Geyser  Power backup  
OYO Flagship 81691 Royal Galaxy ,9.9,India - 110092,Delhi,3.6,49,687, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701471 Hotel Br International,5.1,Paharganj,Delhi,2.4,267,798, Free Wi-Fi  Geyser  Power backup  
OYO 5401 Hotel Mid Town,5.6,Near Karol bagh metro station,Delhi,3.6,260,1881, Free Wi-Fi  CCTV cameras  TV  
OYO Townhouse 281 Harsh Vihar.,8.7,"Near Pitampura metro , Harsh Vihar",Delhi,4.1,804,2795, Private entrance  Free Wi-Fi  Power backup  
Collection O 81379 Hotel Green Plaza,7.7,H.no.-A3 block A Jagat Puri Red light near SBI bank Jagat Puri East Delhi,Delhi,4.3,359,790, Geyser  Power backup  AC  
OYO Flagship 805144 Red Heart Inn,9.4,Nathupura,Delhi,0,876,564, AC  TV  Attached bathroom 
Collection O 81901 Model Town Metro View,2.8,Near Model Town Metro Station,Delhi,4.3,1231,1915, Geyser  Power backup  AC  
OYO Flagship 82642 Hotel Rohan Inn,4,Delhi,Delhi,3.1,183,1091, Reception  Free Wi-Fi  Power backup  
OYO 28237 Hotel Bramhaputra,5,"Centrally Located, Near New Delhi Railway Station",Delhi,3.9,572,1269, Elevator  Geyser  Power backup  
OYO Flagship 80595 Hotel D Palace,6,Shahdra,Delhi,0,876,564, Reception  Free Wi-Fi  Power backup  
OYO 67901 Hotel Yugh Dx,4.8,Near New Delhi Railway Station,Delhi,2.2,16,1199, Free Wi-Fi  Geyser  CCTV cameras  
OYO Flagship 88508 Hotal Pleasant Inn,7.6,Indianull,Delhi,5,2,564, Free Wi-Fi  Geyser  CCTV cameras  
SPOT ON 69054 Anchal Guest House,4.8,Near New Delhi Railway Station,Delhi,3.6,259,999, TV  TV 
OYO Flagship 703606 Shakti Residency,3.8,Delhi - 110053,Delhi,0,876,699, Geyser  Power backup  AC  
Flagship 701182 The Nest Inn,7.9,Near Raj Market,Kolkata,4.1,126,501, Free Wi-Fi  Geyser  CCTV cameras  
Collection O 5048 Church View,2,"Near Brand Factory, AJC Bose Road, Maula Ali",Kolkata,4.2,857,932, Free Wi-Fi  Geyser  Power backup  
Flagship 76255 Airport Comfort Stay,9.9,"Near Opposite To Hotel Moon Light, Bediapara",Kolkata,4.6,1904,706, Free Wi-Fi  Geyser  CCTV cameras  
OYO 36451 Pallyshree Guest House,8.9,"Jyangra Sani Mandir, Baguiati Jora Mandir Chinar Park VIP Road Raghunathpur International Airport",Kolkata,4.7,817,501, AC  TV 
SPOT ON 64196 Silver Green,9.8,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",Kolkata,4.7,3005,696, TV  Parking facility  Reception  
OYO Flagship 805126 Hotel New Aamaze Inn,7.6,near Vivanta hotel,Kolkata,3.9,20,618, Elevator  Geyser  Power backup  
Townhouse Oak Hotel Lake View Royal ,4.4,East Topsia Road,Kolkata,3.9,449,1132, Reception  Caretaker  Power backup  
OYO Townhouse 229 Hotel Mannat International,4.2,Near Bypass Connector,Kolkata,4.4,6116,1500, Hair Dryer  Reception  Free Wi-Fi  
OYO Flagship 93522 Kamalakanta Guest House,8.8,KOLKATA-700028,Kolkata,3.5,22,501, Elevator  Free Wi-Fi  Geyser  
OYO 48739 Fantasy Stay,5.9,"Near Sector 1, Bidhan Nagar",Kolkata,3.7,674,645, Private entrance  Reception  Free Wi-Fi  
OYO Townhouse 143 Hotel Royal Garden,3,"Near Jameson Inn, Park St",Kolkata,4.3,8182,1500, Reception  Free Wi-Fi  Power backup  
OYO 701502 Roomssolution,7.2,Sector 2,Kolkata,3.4,80,497, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 81224 Hotel Eden,9,Rajarhat,Kolkata,3.7,318,546, Reception  Free Wi-Fi  Caretaker  
OYO 92265 Hotel Luxury Stay,6.3,"288/2, Block- B, Binoy Krishna Bhawan, Bangur Avenue, 700055",Kolkata,3,343,559, Reception  Caretaker  Bedside Table / Desk  
OYO 1764 Hotel Maruti Lodging,8.8,"Above Reliance Trends, Raghunathpur",Kolkata,4,358,501, Parking facility  Elevator  Free Wi-Fi  
Flagship 74334 Hotel Marina,2.7,"Near Ladies Park, Beniapukur",Kolkata,4.5,3370,1496, Reception  Free Wi-Fi  Power backup  
Flagship 74169 Mourigram Near Andul Rd,9.5,Howrah,Kolkata,4,6125,863, Reception  Free Wi-Fi  Daily housekeeping  
Flagship 701154 Dream Palace,6.3,"Near Acropolis Mall, Rene Tower, Garden High school Kasba",Kolkata,4.2,446,793, Elevator  Free Wi-Fi  Geyser  
Flagship 701132 Diamond Residency,6.9,Shantipally,Kolkata,3.5,145,497, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701196 Sonar Bangla Guest House,7.7,Near G s t Bhawan,Kolkata,4.5,343,778, Reception  Free Wi-Fi  CCTV cameras  
Collection O 74257 Gokul Residency Jessore Road,8.6,"Near Emami City, Nagerbazar, Dum Dum",Kolkata,4.5,6411,1339, Private entrance  Reception  Free Wi-Fi  
OYO 48739 Fantasy Stay,5.9,"Near Sector 1, Bidhan Nagar",Kolkata,3.7,674,645, Reception  Caretaker  Bedside Table / Desk  
OYO 92265 Hotel Luxury Stay,6.3,"288/2, Block- B, Binoy Krishna Bhawan, Bangur Avenue, 700055",Kolkata,3,343,559, Free Wi-Fi  Geyser  CCTV cameras  
OYO Flagship Monurama Homestay,9.4,Purba Diganta,Kolkata,2.9,30,497, Parking facility  Elevator  Electric Kettle  
OYO 11569 Jalan Lake View,3.9,"Near Beliaghata lake side club, Phool Bagan",Kolkata,3.5,563,808, Reception  Free Wi-Fi  Caretaker  
OYO 92742 Maa Santoshi Inn,9.2,"AI Block, Near Tank No 3, Newtown",Kolkata,2.6,41,497, Parking facility  Elevator  Free Wi-Fi  
OYO 1764 Hotel Maruti Lodging,8.8,"Above Reliance Trends, Raghunathpur",Kolkata,4,358,501, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701196 Sonar Bangla Guest House,7.7,Near G s t Bhawan,Kolkata,4.5,343,778, Reception  Free Wi-Fi  Caretaker  
OYO 701502 Roomssolution,7.2,Sector 2,Kolkata,3.4,80,497, TV  Queen Sized Bed 
Flagship 90948 Hotel Dream Residency,9.1,Jangra,Kolkata,3.8,70,497, Reception  Free Wi-Fi  Caretaker  
SPOT ON 27697 Trisha Guest House,8.6,"Behind New Life Nurshing Home, Oppssite Arati cinema, Sahabagan",Kolkata,4.3,1769,852, Private entrance  Reception  Free Wi-Fi  
OYO 89475 New Hotel City Of Joy,5.2,Saltlake Sector 1,Kolkata,4,510,680, Free Wi-Fi  Geyser  CCTV cameras  
Collection O 67194 Hotel Paradise ,9.7,Kolkata west Bengal Kolkata,Kolkata,4.5,944,941, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701182 The Nest Inn,7.9,Near Raj Market,Kolkata,4.1,126,501, Geyser  Power backup 
Flagship 701132 Diamond Residency,6.9,Shantipally,Kolkata,3.5,145,497, AC  TV 
SPOT ON 702888 Diya Guest House,8.3,Opposite Baguihati Smart Bazar,Kolkata,2.8,21,453, Reception  Power backup  24/7 check-in  
OYO Flagship 701787 Relax View Dumdum Park,6.6,Dum Dum Park,Kolkata,2.8,53,535, Free Wi-Fi  AC  Power backup  
OYO 61457 Pinnacle Auberge,9.8,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,Kolkata,3.4,212,501, Elevator  Free Wi-Fi  Geyser  
 Townhouse OAK Kzar Corporate Hotel,1.6,Sealdah - Entally,Kolkata,4.5,878,2112, Elevator  Free Wi-Fi  Geyser  
OYO 14373 Comfort Stays,9.4,Rajarhat,Kolkata,4,165,497, Reception  Free Wi-Fi  Daily housekeeping  
OYO Flagship 701555 Pindara Guest House,9.8,Kolkata,Kolkata,3.7,131,551, Elevator  Free Wi-Fi  Geyser  
Flagship 74169 Mourigram Near Andul Rd,9.5,Howrah,Kolkata,4,6125,863, Elevator  Free Wi-Fi  Geyser  
Flagship 701567 Dark N Dreams,6.2,Near Dhan Math,Kolkata,3.7,62,508, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 701154 Dream Palace,6.3,"Near Acropolis Mall, Rene Tower, Garden High school Kasba",Kolkata,4.2,446,793, AC  AC  Queen Sized Bed  
Flagship 701201 The Buddha Guest House,9.7,Near Vidyasagar Hospital,Kolkata,2.9,44,687, Reception  Free Wi-Fi  Caretaker  
Capital O 1481 Hotel Heritage,8.8,"Teghoria, VIP Road Raghunathpur Airport Haldiram",Kolkata,4.3,779,1122, Free Wi-Fi  AC  Attached Washroom  
Collection O 90950 The Eden,7.7,Ward 107,Kolkata,3.7,32,501, Geyser  Power backup  AC  
Flagship 78267 Flagship City Inn,8.4,Avisar Spencer Kalikapur,Kolkata,2.9,294,564, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 805678 Golden Guest House,7.5,kolkata,Kolkata,0,876,702, AC  TV  Parking facility  
OYO Flagship 93522 Kamalakanta Guest House,8.8,KOLKATA-700028,Kolkata,3.5,22,501, Free Wi-Fi  Power backup  Card payment  
SPOT ON 75881 Sonar Bangla Lodge,3.1,"Near Howrah railway station, Howrah AC Market",Kolkata,3.3,795,1080, Free Wi-Fi  Geyser  Power backup  
OYO 15722 Hotel Padmavati,9.7,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment  700157",Kolkata,4,390,631, Parking facility  Free Wi-Fi  24/7 check-in  
OYO 5718 Pratiksha Guest House,6.1,Bangur Avenue Block B Kolkata West Bengal India 700055,Kolkata,3.3,7,501, Reception  Free Wi-Fi  Caretaker  
Collection O 81878 Premium Hotel,9.1,"1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA",Kolkata,4.6,614,1064, Reception  Free Wi-Fi  CCTV cameras  
Flagship 81224 Hotel Eden,9,Rajarhat,Kolkata,3.7,318,546, AC  TV 
Flagship 74641 Delightful Stay Em Byepass,5.7,Uttar Panchanna Gram,Kolkata,4,2024,1212, Parking facility  Private entrance  Reception  
OYO 74959 Sataksi Guest House,6.8,"CL 246, CL Block, Saltlake Sector 2 Near Sector 5 Metro Station",Kolkata,4.7,677,1578, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 76629 Bimla Regency,8.8,"Police Station, Dum Dum",Kolkata,4,487,687, Parking facility  Reception  Free Wi-Fi  
Flagship 700631 Delight Room,4.6,Sector 1,Kolkata,2.2,9,853, Reception  Caretaker  Power backup  
OYO 88694 Hotel Valentine,6.8,Near Acropolis Mall,Kolkata,3.3,135,682, Free Wi-Fi  Geyser  CCTV cameras  
Townhouse Oak Hotel Lake View Royal ,4.4,East Topsia Road,Kolkata,3.9,449,1132, Free Wi-Fi  Geyser  Power backup  
OYO 90470 Senray Guest House,7.3,Rajarhat,Kolkata,3.4,32,621, Parking facility  Reception  Free Wi-Fi  
OYO 22566 Red Velvet Inn,9.7,"Near Chinar Park, Backside of NPG Hotel, Opposite Charnock Hospital",Kolkata,3.6,664,626, Elevator  Geyser  Power backup  
Flagship 92932 Tumpa Inn,6.5,Near Sector-v Metro Station,Kolkata,3.4,76,604, Reception  Caretaker  Power backup  
OYO Flagship 805126 Hotel New Aamaze Inn,7.6,near Vivanta hotel,Kolkata,3.9,20,618, Geyser  Power backup  AC  
Flagship 88172 Vip Inn Guest House,8.8,North 24 Parganas,Kolkata,3,213,614, Elevator  Electric Kettle  Free Wi-Fi  
OYO Flagship 702854 Metro Inn,6.9,Kolkata,Kolkata,3.4,21,606, Parking facility  Reception  Free Wi-Fi  
OYO 11530 Maa Tara Guest House,9.8,"Near R.N.Tagore Hospital, Nitainagar",Kolkata,3.1,250,626, Reception  Free Wi-Fi  Power backup  
OYO Flagship 30696 Pigeon Guest House,7.1,Kolkata,Kolkata,3.6,89,564, Free Wi-Fi  Geyser  CCTV cameras  
Collection O 74261 Saltlake Palace,6,4th avenue FF block Bhangar- II south 24 Parganas west Bengal India Kolkata west Bengal India 700091,Kolkata,4.4,207,1486, Free Wi-Fi  Geyser  AC  
Flagship 701317 Diamond Regency,7.4,Near Acropolis Mall,Kolkata,3.7,362,501, Parking facility  Geyser  Daily housekeeping  
OYO Flagship 701972 Shree Corporate,8.5,Sector V,Kolkata,4.1,93,691, Elevator  Free Wi-Fi  Geyser  
Collection O 85434 Hotel Fortune Stay,9.9,Chinar Park,Kolkata,4.2,183,687, Private entrance  Reception  Public washroom  
OYO 14778 G R Hospitality,7.6,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",Kolkata,4.2,869,890, Reception  Free Wi-Fi  Power backup  
OYO Townhouse 75779 The Royal Retreat,10,"Kolkata International Airport, Belghoria Express Way Noapara & Baranagar Metro Station",Kolkata,4.4,4135,1653, Geyser  Power backup  AC  
Flagship 37100 Apan Guest House,9.9,"Near Mukundapur  Bus Stop R.N Tagore Institute of Cardiac Sciences, Narayana Health",Kolkata,3.6,193,626, Free Wi-Fi  CCTV cameras  AC  
POP 702820 Dream Rooms,6.5,Kolkatanull,Kolkata,0,876,501, Free Wi-Fi  Geyser  CCTV cameras  
OYO Flagship 71381 Adri Hotels,8.4,"Near Sarojini Naidu College for Women, Golpark, Dumdum Kolkata",Kolkata,4.3,1348,1175, Free Wi-Fi  Geyser  CCTV cameras  
OYO Flagship 71945 Relief Inn,8.2,Near Oxfoard House School ,Kolkata,4,8,497, AC  TV  King Sized Bed  
OYO Flagship 701974 Hotel Dreamline,8.5,Near SBI E-Corner,Kolkata,2.4,8,501, Hair Dryer  Reception  Free Wi-Fi  
Capital O 85376 Kabita Guest House,9.8,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,Kolkata,4,700,702, Doctor on call  Reception  Power backup  
Flagship 75235 Hotel Red Rose,8.8,Dum Dum,Kolkata,3.9,95,623, Interconnected room  AC  TV  
OYO 702008 Avenue Inn,6,Kolkata,Kolkata,4.1,205,1104, Doctor on call  Reception  Free Wi-Fi  
Flagship 79536 Hotel Rockstar,3.5,Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover,Kolkata,4.1,560,1262, Reception  Free Wi-Fi  Caretaker  
Townhouse OAK Shubhham Regency,6.2,Bidhannagar,Kolkata,4.6,1037,2562, AC  TV 
OYO 81663 Royal Regency,7.8,Rajdanga Main Road,Kolkata,4.5,1109,948, Elevator  Geyser  Power backup  
Flagship 74922 Penguin Homes,0.7,Beside Yogayog Bhavan,Kolkata,4.4,1093,1959, Free Wi-Fi  Geyser  CCTV cameras  
Collection O 805345 Avenue Regency,8.3,Tollygunge,Kolkata,0,876,947, Private entrance  Reception  Free Wi-Fi  
OYO Flagship 702286 P2 Guest House,7.2,India - . ,Kolkata,3.4,8,497, Parking facility  Free Wi-Fi  Power backup  
OYO 67427 Saga Guest House,5.9,Near Cf Block Swimmiming Pool,Kolkata,3.5,81,769, Geyser  Power backup  AC  
OYO Flagship 82200 Priyangshu Inn,8.9,Kolkata,Kolkata,2.3,7,618, Reception  Free Wi-Fi  Caretaker  
